,Sample ID,Scintillation Counts (CPM),% Error,Volume Added,Cw (DPM/mL),dCw (DPM/mL),Cs (DPM/mg Fe),dCs (DPM/mg Fe)
0,pH3_A,759.67,1.08,4,43.1250448248,2.15625224128,-245.445348519,-55.8909213733
1,pH3_B,737.73,1.1,4,42.8252371121,2.14126185565,-237.942840756,-55.505062731
2,pH3_C,731.93,1.1,4,42.7463296659,2.13731648334,-235.968229354,-55.4035414936
3,pH5_A,497.6,1.34,4,39.6770389657,1.98385194833,-159.161074873,-51.4666641958
4,pH5_B,499.96,1.33,4,39.7068244624,1.98534122317,-159.906439022,-51.5047475972
5,pH5_C,577.09,1.24,4,40.6926852605,2.03463426307,-184.577012782,-52.7666685318
6,pH7_A,405.56,1.48,4,38.5326678052,1.92663339031,-130.523874591,-50.0054812914
7,pH7_B,424.76,1.45,4,38.768632655,1.9384316328,-136.428753093,-50.3064452861
8,pH7_C,406.56,2.75,4,38.5449221122,1.92724610566,-130.830531256,-50.0211068915
9,pH9_A,117.93,2.75,4,35.1648759068,1.7582437954,-46.2469070876,-45.7307839215
10,pH9_B,117.13,2.78,4,35.1559318516,1.75779659264,-46.0230874845,-45.7194882665
11,pH9_C,115.22,2.75,4,35.1345871181,1.75672935596,-45.4889483606,-45.69253284
12,pH11_A,117.33,2.71,4,35.1581676521,1.75790838266,-46.0790370477,-45.7223118799
13,pH11_B,120.64,2.71,4,35.1951908068,1.7597595404,-47.0055192349,-45.7690717631
14,pH11_C,117.42,2.75,4,35.1591738087,1.75795869049,-46.104215512,-45.7235825713
15,Filtered_Stock,20507.4,0.21,2,23002.4136807,1150.12068404,-575204.706566,-30716.8330291
16,Unfiltered_Stock,25034.82,0.19,2,97047.2282121,4852.36141061,-2428131.67364,-129600.351711
