Total Activity,Cw,sCw,Cs,sCs
5000,-2.397560229,2.757965343,2347.235914,69.05348029
10000,12.70509034,4.165235003,4256.304443,104.2884654
10000_NoFHY,11.17761428,8.260006602,4294.549136,206.8126797
25000,85.71199162,4.435646544,9289.988311,111.0589848
50000,181.3298413,22.80659229,18331.95539,571.0276871
75000,378.3455673,19.52170256,24835.1392,488.7811611
100000,548.4009824,15.07093403,32013.35081,377.3435546
