,Sample ID,Scintillation Counts (CPM),% Error,Total Activity,Cw (DPM/mL),dCw (DPM/mL),Cs (DPM/mg Fe),dCs (DPM/mg Fe)
0,5000_A,67.07,6.31,9135,-2.87444829276,-0.158978760819,2359.17615841,71.8355179121
1,5000_B,70.27,6.16,9135,0.567751266708,0.0721633246396,2272.99093493,69.3957276049
2,5000_C,65.2,6.4,9135,-4.88598366032,-0.253835690863,2409.54064838,73.3850607984
3,10000_A,83.2,5.66,18270,14.4763888617,0.726383158301,4211.9549636,131.020777011
4,10000_B,77.13,5.88,18270,7.94696657231,0.402364679476,4375.43755939,134.508707056
5,10000_C,84.33,5.62,18270,15.6919155811,0.786928357911,4181.52080656,130.439016739
6,10000_A_NoFHY,75.67,5.94,18270,6.3764630233,0.325179792506,4414.7595676,135.435593403
7,10000_B_NoFHY,75.73,5.93,18270,6.44100426504,0.328323470167,4413.14359466,135.396829068
8,10000_C_NoFHY,89.0,5.47,18270,20.7153755632,1.0374440743,4055.74424605,128.270534652
9,25000_A,154.07,4.16,45675,90.7103522302,4.53573963431,9164.84018425,310.287295734
10,25000_B,146.2,4.27,45675,82.2446926886,4.11249254564,9376.80196824,311.681331502
11,25000_C,148.0,4.24,45675,84.1809299408,4.20929496941,9328.32278003,311.319247402
12,50000_A,236.87,3.36,91350,179.777265831,8.98893665638,18370.8285132,620.798698696
13,50000_B,260.2,3.2,91350,204.873051995,10.2437110678,17742.4843683,618.342664161
14,50000_C,217.87,3.5,91350,159.339205947,7.96705002947,18882.5532776,624.401105418
15,75000_A,402.4,2.57,137025,357.835794918,17.8918115498,25348.6594864,927.738434313
16,75000_B,438.53,2.47,137025,396.700379319,19.8350371879,24375.5744476,931.940356824
17,75000_C,423.47,2.51,137025,380.500527643,19.0250459749,24781.1836556,929.765418099
18,100000_A,565.87,2.17,182700,533.678408039,26.6839310047,32381.9721972,1243.33146472
19,100000_B,593.87,2.12,182700,563.797654184,28.1898923236,31627.8514918,1248.95433341
20,100000_C,578.93,2.15,182700,547.726884991,27.3863544065,32030.2287539,1245.76186495
