Total Activity,Cw,sCw,Cs,sCs
25000,216.7163699,117.0100915,600.1876678,292.5757274
50000,307.3143451,15.21302364,1515.725751,38.03912465
75000,460.707363,31.87454847,2274.249128,79.70012741
100000,627.8871072,32.63084804,2998.299738,81.59120273
