,Sample ID,Scintillation Counts (CPM),% Error,Total Activity,Cw (DPM/mL),dCw (DPM/mL),Cs (DPM/mg Fe),dCs (DPM/mg Fe)
0,25000_A,338.8,3.44,45675,289.422078674,14.4711517442,418.392017778,40.0017602781
1,25000_B,329.1,3.49,45675,278.987911259,13.9494465913,444.481939435,38.9429784287
2,25000_C,145.73,4.28,45675,81.7391196283,4.08721669749,937.689046059,27.4812361133
3,50000_A,339.5,3.43,91350,290.175059828,14.5088004044,1558.58136157,57.6257890969
4,50000_B,360.3,3.33,91350,312.549356964,15.6275093792,1502.63596256,58.6545542847
5,50000_C,366.5,3.3,91350,319.218618611,15.9609708773,1485.95993016,58.9905559732
6,75000_A,521.7,2.77,137025,486.165297245,24.3082835244,2210.59330529,88.8679198899
7,75000_B,464.8,2.93,137025,424.958686328,21.2479581079,2363.6362478,86.0118075058
8,75000_C,507.6,2.81,137025,470.998105436,23.5499250735,2248.51783059,88.089606427
9,100000_A,674.9,2.43,182700,650.960601154,32.548040942,2940.60604572,118.635753643
10,100000_B,632.0,2.52,182700,604.81361331,30.2406932032,3055.99343119,116.338169013
