Radium sorption experiment with ferrihydrite at pH 3 performed 07/14/2015 with 40mg Fe,,,
Sample ID,Scintillation Counts (CPM),% Error,Total Activity
25000_A,338.80,3.44,45675
25000_B,329.10,3.49,45675
25000_C,145.73,4.28,45675
50000_A,339.50,3.43,91350
50000_B,360.30,3.33,91350
50000_C,366.50,3.30,91350
75000_A,521.70,2.77,137025
75000_B,464.80,2.93,137025
75000_C,507.60,2.81,137025
100000_A,674.90,2.43,182700
100000_B,632.00,2.52,182700
