Total Activity,Cw,sCw,Cs,sCs
11211.23922,78.26186873,2.159745904,280.5687696,17.90097134
22422.47844,124.8188378,11.10468198,823.9223875,92.04073202
33633.71767,220.7471096,9.505247253,958.0638509,78.7838784
44844.95689,303.5482261,7.338138355,1201.009239,60.82187917
