,Sample ID,Scintillation Counts (CPM),% Error,Volume Added,Vol Err,Cw (DPM/mL),dCw (DPM/mL),Total Activity (DPM),dTotal Activity (DPM),Cs (DPM/mg Fe),dCs (DPM/mg Fe)
0,5000_A,67.07,6.31,0.5,0.002,35.1285399592,2.82814418913,2242.24784435,15.4308362291,-105.313705033,-23.6740591308
1,5000_B,70.27,6.16,0.5,0.002,36.8045698962,2.92001065162,2242.24784435,15.4308362291,-119.205415079,-24.4469093983
2,5000_C,65.2,6.4,0.5,0.002,34.1491099648,2.773445988,2242.24784435,15.4308362291,-97.1957369749,-23.2141793023
3,10000_A,83.2,5.66,1.0,0.002,43.57677836,3.29100185362,4484.4956887,26.6667284821,10.5112492295,27.6282695094
4,10000_B,77.13,5.88,1.0,0.002,40.3975590734,3.11806355591,4484.4956887,26.6667284821,36.8620867231,26.1754762376
5,10000_C,84.33,5.62,1.0,0.002,44.1686264315,3.3224790505,4484.4956887,26.6667284821,5.60573911952,27.8929356789
6,10000_A_NoFHY,75.67,5.94,1.0,0.002,39.6328704147,3.07719570108,4484.4956887,26.6667284821,43.2001794316,25.8321205017
7,10000_B_NoFHY,75.73,5.93,1.0,0.002,39.664295976,3.07660222474,4484.4956887,26.6667284821,42.9397098683,25.827629146
8,10000_C_NoFHY,89.0,5.47,1.0,0.002,46.6145826207,3.45454315781,4484.4956887,26.6667284821,-14.6674752289,-29.0031554531
9,25000_A,154.07,4.16,2.5,0.01,80.6956038694,5.24866440571,11211.2392217,77.1541811457,260.396848944,44.5281581459
10,25000_B,146.2,4.27,2.5,0.01,76.5736177432,5.03484784015,11211.2392217,77.1541811457,294.561773338,42.7410043795
11,25000_C,148.0,4.24,2.5,0.01,77.5163845828,5.08176512537,11211.2392217,77.1541811457,286.747686437,43.1335266251
12,50000_A,236.87,3.36,5.0,0.01,124.062878487,7.47365324454,22422.4784435,133.333642411,830.188127569,63.8427893689
13,50000_B,260.2,3.2,5.0,0.01,136.282184246,8.0901585961,22422.4784435,133.333642411,728.908879015,68.9867484149
14,50000_C,217.87,3.5,5.0,0.01,114.111450737,6.96453884905,22422.4784435,133.333642411,912.670155968,59.6067764945
15,75000_A,402.4,2.57,7.5,0.02,210.760764568,11.8485982915,33633.7176652,208.613418129,1040.83528991,101.390132058
16,75000_B,438.53,2.47,7.5,0.02,229.684190075,12.8090694601,33633.7176652,208.613418129,883.989201172,109.407832143
17,75000_C,423.47,2.51,7.5,0.02,221.796374184,12.4087291391,33633.7176652,208.613418129,949.367061576,106.063851605
18,100000_A,565.87,2.17,10.0,0.02,296.379706377,16.154434115,44844.956887,266.667284821,1260.42524059,138.136944053
19,100000_B,593.87,2.12,10.0,0.02,311.044968325,16.8924624884,44844.956887,266.667284821,1138.87277769,144.308048019
20,100000_C,578.93,2.15,10.0,0.02,303.220003557,16.5032205094,44844.956887,266.667284821,1203.72969897,141.051034108
