,Sample ID,Scintillation Counts (CPM),% Error,Volume Added,Vol Err,Cw (DPM/mL),dCw (DPM/mL),Total Activity (DPM),dTotal Activity (DPM),Cs (DPM/mg Fe),dCs (DPM/mg Fe)
0,5000_A,95.5,14.47,0.2,0.002,50.0190184301,7.65766341942,2533.89538495,34.2601022546,-204.982644773,-63.8143424114
1,5000_B,92.0,14.74,0.2,0.002,48.1858606866,7.50010406259,2533.89538495,34.2601022546,-189.757177217,-62.4992224211
2,5000_C,100.5,14.11,0.2,0.002,52.6378152065,7.87972622121,2533.89538495,34.2601022546,-226.73331271,-65.6682956358
3,5000_A_NoFHY,102.5,13.97,0.2,0.002,53.6853339171,7.96573317046,2533.89538495,34.2601022546,-235.433579885,-66.3866205349
4,5000_B_NoFHY,97.5,14.32,0.2,0.002,51.0665371407,7.74567431374,2533.89538495,34.2601022546,-213.682911948,-64.5491527358
5,5000_C_NoFHY,97.5,14.32,0.2,0.002,51.0665371407,7.74567431374,2533.89538495,34.2601022546,-213.682911948,-64.5491527358
6,10000_A,136.0,12.13,0.4,0.002,71.2312723193,9.3456107932,5067.7907699,52.6196795831,-170.707942238,-77.9915897462
7,10000_B,117.0,13.07,0.4,0.002,61.2798445688,8.57534520451,5067.7907699,52.6196795831,-88.0554040767,-71.5571517803
8,10000_C,130.5,12.38,0.4,0.002,68.3505958652,9.12587710293,5067.7907699,52.6196795831,-146.782207507,-76.1553778045
9,25000_A,246.5,9.01,1.0,0.002,129.106681079,13.3036338031,12669.4769248,118.043903654,-20.0323651701,-111.498663091
10,25000_B,216.5,9.61,1.0,0.002,113.39390042,12.2838676008,12669.4769248,118.043903654,110.471642453,102.970785591
11,25000_C,231.0,9.3,1.0,0.002,120.988411072,12.7750241838,12669.4769248,118.043903654,47.394705435,107.077313915
12,50000_A,439.0,6.75,2.0,0.01,229.930356972,19.3144921409,25338.9538495,263.098397916,194.842483381,163.136869545
13,50000_B,434.0,6.79,2.0,0.01,227.311560195,19.167648857,25338.9538495,263.098397916,216.593151318,161.909603227
14,50000_C,442.0,6.73,2.0,0.01,231.501635038,19.4092964414,25338.9538495,263.098397916,181.792082619,163.928036753
15,75000_A,557.5,5.99,3.0,0.01,291.995840574,22.7831801189,38008.4307743,368.350743212,731.627217401,193.369117144
16,75000_B,549.0,6.04,3.0,0.01,287.543886054,22.546374597,38008.4307743,368.350743212,768.603352894,191.393600568
17,75000_C,586.5,5.84,3.0,0.01,307.184861877,23.6164233252,38008.4307743,368.350743212,605.473343366,200.31939532
18,100000_A,832.0,4.9,4.0,0.01,435.7677836,30.5068573203,50677.907699,478.255553317,589.791111783,259.272577461
19,100000_B,813.0,4.96,4.0,0.01,425.81635585,29.9895660676,50677.907699,478.255553317,672.443649944,254.94762356
20,100000_C,808.5,4.97,4.0,0.01,423.459438751,29.8534099067,50677.907699,478.255553317,692.019251088,253.812913649
