,Sample ID,Scintillation Counts (CPM),% Error,Volume Added,Cw (DPM/mL),dCw (DPM/mL),Cs (DPM/mg Fe),dCs (DPM/mg Fe)
0,5000_A,104.4,5.05,0.5,35.0139152962,1.75069576487,-854.27807898,-52.2146481484
1,5000_B,105.27,5.03,0.5,35.023602772,1.75118013866,-854.520615127,-52.229194174
2,5000_C,105.6,5.03,0.5,35.0272780329,1.75136390171,-854.61262915,-52.2347126849
3,10000_A,160.07,4.08,1.0,35.6392349017,1.78196174514,-847.601490973,-52.7975956736
4,10000_B,156.13,4.13,1.0,35.5946135002,1.77973067507,-846.484347249,-52.7306099444
5,10000_C,152.87,4.18,1.0,35.5577354937,1.77788677474,-845.561067563,-52.6752486514
6,10000_A_NoFHY,158.73,4.1,1.0,35.6240528215,1.78120264114,-847.221391626,-52.7748043016
7,10000_B_NoFHY,158.53,4.1,1.0,35.6217873942,1.78108936977,-847.164674269,-52.7714034376
8,10000_C_NoFHY,160.07,4.08,1.0,35.6392349017,1.78196174514,-847.601490973,-52.7975956736
9,25000_A,308.33,2.94,2.5,37.3595980225,1.86797990118,-823.676225037,-54.3564920041
10,25000_B,306.4,2.95,2.5,37.336677903,1.8668338952,-823.102395733,-54.3221335805
11,25000_C,322.93,2.87,2.5,37.533439801,1.8766719901,-828.028536827,-54.6170920954
12,50000_A,542.0,2.22,5.0,40.2411728004,2.01205864007,-784.158870201,-57.109518368
13,50000_B,554.67,2.19,5.0,40.4036202858,2.02018101434,-788.225913879,-57.3519353916
14,50000_C,530.53,2.24,5.0,40.094674378,2.00473371895,-780.491128092,-56.8909129503
15,75000_A,763.33,1.87,7.5,43.1752622002,2.15876311006,-745.956274168,-60.087131454
16,75000_B,739.07,1.9,7.5,42.8434881569,2.14217440789,-737.649961994,-59.5953393956
17,75000_C,764.13,1.87,7.5,43.1862464611,2.1593123231,-746.231276694,-60.1034153429
18,100000_A,1013.6,1.62,10.0,46.7515247524,2.33757623766,-723.831158516,-64.1347330234
19,100000_B,1097.93,1.56,10.0,48.0221113079,2.40110556543,-755.64162948,-66.0056393667
20,100000_C,1055.87,1.59,10.0,47.3841412935,2.36920706472,-739.66937908,-65.0659757398
