pH,Ra,fSorb,ks,siteW,totRa,kw,siteS
9.0,8.98587346649e-13,0.998497094252,6.0,5.8e-05,5.979e-10,-7.0,1.6e-06
9.1,5.72953532324e-13,0.999041723478,6.0,5.8e-05,5.979e-10,-7.0,1.6e-06
9.2,3.6581780887e-13,0.99938816222,6.0,5.8e-05,5.979e-10,-7.0,1.6e-06
9.3,2.33979820588e-13,0.999608663956,6.0,5.8e-05,5.979e-10,-7.0,1.6e-06
9.4,1.49988840388e-13,0.999749140591,6.0,5.8e-05,5.979e-10,-7.0,1.6e-06
9.5,9.64118032032e-14,0.999838749284,6.0,5.8e-05,5.979e-10,-7.0,1.6e-06
9.6,6.21793931412e-14,0.999896003691,6.0,5.8e-05,5.979e-10,-7.0,1.6e-06
9.7,4.02621258813e-14,0.99993266077,6.0,5.8e-05,5.979e-10,-7.0,1.6e-06
9.8,2.61943347947e-14,0.999956189438,6.0,5.8e-05,5.979e-10,-7.0,1.6e-06
9.9,1.71374110638e-14,0.999971337329,6.0,5.8e-05,5.979e-10,-7.0,1.6e-06
10.0,1.12855014922e-14,0.999981124768,6.0,5.8e-05,5.979e-10,-7.0,1.6e-06
