,Sample ID,Scintillation Counts (CPM),% Error,Volume Added,Cw (DPM/mL),dCw (DPM/mL),Cs (DPM/mg Fe),dCs (DPM/mg Fe)
0,5000_A,67.07,6.31,9135,34.6007590524,1.73003795269,407141.604623,13427.5647172
1,5000_B,70.27,6.16,9135,34.6359837443,1.73179918729,407140.722736,13427.5384667
2,5000_C,65.2,6.4,9135,34.5801912093,1.72900956054,407142.11956,13427.580045
3,10000_A,83.2,5.66,18270,34.778679076,1.73893395387,815145.021231,26880.8198298
4,10000_B,77.13,5.88,18270,34.7116175617,1.73558087816,815146.700186,26880.8699521
5,10000_C,84.33,5.62,18270,34.7911776418,1.73955888216,815144.708316,26880.8104883
6,10000_A_NoFHY,75.67,5.94,18270,34.6955067459,1.73477533737,815147.103538,26880.8819935
7,10000_B_NoFHY,75.73,5.93,18270,34.6961686869,1.73480843441,815147.086965,26880.8814988
8,10000_C_NoFHY,89.0,5.47,18270,34.8428786639,1.74214393326,815143.413927,26880.7718468
9,25000_A,154.07,4.16,45675,35.5713057743,1.77856528878,2039148.79006,67240.4811176
10,25000_B,146.2,4.27,45675,35.4824016553,1.77412008282,2039151.01586,67240.5476803
11,25000_C,148.0,4.24,45675,35.5027158885,1.77513579448,2039150.50728,67240.532471
12,50000_A,236.87,3.36,91350,36.5202712455,1.82601356233,4079164.38682,134506.891573
13,50000_B,260.2,3.2,91350,36.792197553,1.83960987771,4079157.57886,134506.687863
14,50000_C,217.87,3.5,91350,36.300299454,1.81501497276,4079169.89405,134507.056362
15,75000_A,402.4,2.57,137025,38.4939697963,1.92469848987,6119154.32832,201772.539249
16,75000_B,438.53,2.47,137025,38.9387529699,1.94693764854,6119143.1927,201772.205986
17,75000_C,423.47,2.51,137025,38.7527335837,1.93763667924,6119147.84989,201772.345365
18,100000_A,565.87,2.17,182700,40.5477662505,2.02738831257,8159142.26448,269038.128019
19,100000_B,593.87,2.12,182700,40.9103850751,2.0455192538,8159133.18593,269037.856294
20,100000_C,578.93,2.15,182700,40.71650033,2.03582501655,8159138.04004,269038.001579
