Total Activity,Cw,sCw,Cs,sCs
5000,38.02318522,0.66683941,1335.187972,16.6962149
10000,93.17009067,3.878227151,2241.635068,97.10241023
10000_NoFHY,96.13181654,0.900755702,2167.479865,22.55297235
25000,261.188871,9.722192665,4896.427215,243.4226526
50000,508.4320256,12.98889261,10142.02497,325.2137457
75000,737.6717594,15.32109633,15838.3894,383.6070769
100000,1060.689917,45.35640451,19186.74515,1135.626157
