pH,Ra,fSorb,k2,k1,totRa,sites
8.6,7.10028439972e-11,0.881246288682,-5.67,3.0,5.979e-10,0.007
8.7,6.92832981689e-11,0.88412226431,-5.67,3.0,5.979e-10,0.007
8.8,6.760596766e-11,0.886927633952,-5.67,3.0,5.979e-10,0.007
8.9,6.60008466642e-11,0.889612231704,-5.67,3.0,5.979e-10,0.007
9.0,6.44953278849e-11,0.892130242708,-5.67,3.0,5.979e-10,0.007
9.1,6.31118295206e-11,0.894444172068,-5.67,3.0,5.979e-10,0.007
9.2,6.18658812473e-11,0.896528046082,-5.67,3.0,5.979e-10,0.007
9.3,6.07653595199e-11,0.898368691219,-5.67,3.0,5.979e-10,0.007
9.4,5.9810914801e-11,0.899965019567,-5.67,3.0,5.979e-10,0.007
9.5,5.89972647539e-11,0.901325865941,-5.67,3.0,5.979e-10,0.007
9.6,5.83149071336e-11,0.902467123041,-5.67,3.0,5.979e-10,0.007
9.7,5.77518607954e-11,0.903408829578,-5.67,3.0,5.979e-10,0.007
9.8,5.72951792589e-11,0.904172638804,-5.67,3.0,5.979e-10,0.007
9.9,5.69321229292e-11,0.904779857954,-5.67,3.0,5.979e-10,0.007
10.0,5.66509826488e-11,0.905250070833,-5.67,3.0,5.979e-10,0.007
2.0,5.97887758922e-10,2.04734537548e-05,-5.67,3.0,5.979e-10,0.0065
2.1,5.97884019801e-10,2.67272102359e-05,-5.67,3.0,5.979e-10,0.0065
2.2,5.97879233339e-10,3.47326659975e-05,-5.67,3.0,5.979e-10,0.0065
2.3,5.9787312554e-10,4.49480849639e-05,-5.67,3.0,5.979e-10,0.0065
2.4,5.97865353792e-10,5.79464927244e-05,-5.67,3.0,5.979e-10,0.0065
2.5,5.97855488449e-10,7.44464810169e-05,-5.67,3.0,5.979e-10,0.0065
2.6,5.97842990609e-10,9.53493744773e-05,-5.67,3.0,5.979e-10,0.0065
2.7,5.97827183544e-10,0.000121787014551,-5.67,3.0,5.979e-10,0.0065
2.8,5.97807216737e-10,0.000155181908346,-5.67,3.0,5.979e-10,0.0065
2.9,5.97782020578e-10,0.000197323000502,-5.67,3.0,5.979e-10,0.0065
3.0,5.9775024939e-10,0.000250460963372,-5.67,3.0,5.979e-10,0.0065
3.1,5.97710209859e-10,0.000317427899314,-5.67,3.0,5.979e-10,0.0065
3.2,5.97659771158e-10,0.000401787660144,-5.67,3.0,5.979e-10,0.0065
3.3,5.97596252159e-10,0.000508024487373,-5.67,3.0,5.979e-10,0.0065
3.4,5.97516279949e-10,0.000641779647098,-5.67,3.0,5.979e-10,0.0065
3.5,5.97415612423e-10,0.000810148146847,-5.67,3.0,5.979e-10,0.0065
3.6,5.97288916055e-10,0.00102205041813,-5.67,3.0,5.979e-10,0.0065
3.7,5.97129487785e-10,0.00128869746613,-5.67,3.0,5.979e-10,0.0065
3.8,5.96928907529e-10,0.00162417205386,-5.67,3.0,5.979e-10,0.0065
3.9,5.96676604795e-10,0.00204615354574,-5.67,3.0,5.979e-10,0.0065
4.0,5.96359319545e-10,0.00257681962703,-5.67,3.0,5.979e-10,0.0065
4.1,5.95960433606e-10,0.00324396453253,-5.67,3.0,5.979e-10,0.0065
4.2,5.95459144926e-10,0.00408238012042,-5.67,3.0,5.979e-10,0.0065
4.3,5.94829453062e-10,0.00513555266433,-5.67,3.0,5.979e-10,0.0065
4.4,5.94038921156e-10,0.00645773347383,-5.67,3.0,5.979e-10,0.0065
4.5,5.93047178483e-10,0.00811644341361,-5.67,3.0,5.979e-10,0.0065
4.6,5.9180413016e-10,0.0101954672019,-5.67,3.0,5.979e-10,0.0065
4.7,5.90247849918e-10,0.0127983777923,-5.67,3.0,5.979e-10,0.0065
4.8,5.88302152172e-10,0.0160525971366,-5.67,3.0,5.979e-10,0.0065
4.9,5.85873877535e-10,0.0201139362184,-5.67,3.0,5.979e-10,0.0065
5.0,5.82849990043e-10,0.0251714500033,-5.67,3.0,5.979e-10,0.0065
5.1,5.79094685853e-10,0.0314522732012,-5.67,3.0,5.979e-10,0.0065
5.2,5.74446859998e-10,0.0392258571701,-5.67,3.0,5.979e-10,0.0065
5.3,5.68718518471e-10,0.0488066257384,-5.67,3.0,5.979e-10,0.0065
5.4,5.61694905656e-10,0.0605537620739,-5.67,3.0,5.979e-10,0.0065
5.5,5.53137578969e-10,0.0748660662837,-5.67,3.0,5.979e-10,0.0065
5.6,5.42791804786e-10,0.0921695855728,-5.67,3.0,5.979e-10,0.0065
5.7,5.30399884856e-10,0.112895325546,-5.67,3.0,5.979e-10,0.0065
5.8,5.15721786005e-10,0.137444746605,-5.67,3.0,5.979e-10,0.0065
5.9,4.98563624504e-10,0.166142123258,-5.67,3.0,5.979e-10,0.0065
6.0,4.78812868048e-10,0.199175668092,-5.67,3.0,5.979e-10,0.0065
6.1,4.56476535173e-10,0.23653364246,-5.67,3.0,5.979e-10,0.0065
6.2,4.31715632484e-10,0.277946759518,-5.67,3.0,5.979e-10,0.0065
6.3,4.04866663688e-10,0.322852209921,-5.67,3.0,5.979e-10,0.0065
6.4,3.76440843769e-10,0.370394976135,-5.67,3.0,5.979e-10,0.0065
6.5,3.47094982952e-10,0.4194765296,-5.67,3.0,5.979e-10,0.0065
6.6,3.17574846607e-10,0.468849562457,-5.67,3.0,5.979e-10,0.0065
6.7,2.88640079743e-10,0.517243552863,-5.67,3.0,5.979e-10,0.0065
6.8,2.6098599115e-10,0.563495582623,-5.67,3.0,5.979e-10,0.0065
6.9,2.35178592257e-10,0.606658986023,-5.67,3.0,5.979e-10,0.0065
7.0,2.11614711809e-10,0.646070058858,-5.67,3.0,5.979e-10,0.0065
7.1,1.9051104588e-10,0.681366372504,-5.67,3.0,5.979e-10,0.0065
7.2,1.71918256127e-10,0.712463194302,-5.67,3.0,5.979e-10,0.0065
7.3,1.55751461696e-10,0.739502489219,-5.67,3.0,5.979e-10,0.0065
7.4,1.4182743493e-10,0.762790709266,-5.67,3.0,5.979e-10,0.0065
7.5,1.29900536875e-10,0.782738690626,-5.67,3.0,5.979e-10,0.0065
7.6,1.19692257542e-10,0.799812246961,-5.67,3.0,5.979e-10,0.0065
7.7,1.10911644677e-10,0.814498001878,-5.67,3.0,5.979e-10,0.0065
7.8,1.03264544286e-10,0.827287933959,-5.67,3.0,5.979e-10,0.0065
