,Sample ID,Scintillation Counts (CPM),% Error,Total Activity,Cw (DPM/mL),dCw (DPM/mL),Cs (DPM/mg Fe),dCs (DPM/mg Fe)
0,pH3_A,759.67,1.08,100000,742.146618859,37.1073331539,6452.8097941,983.75601276
1,pH3_B,737.73,1.1,100000,718.546038129,35.9273042457,7043.41697483,955.165476097
2,pH3_C,731.93,1.1,100000,712.307051428,35.6153549273,7199.54831705,947.630857965
3,pH5_A,497.6,1.34,100000,460.241231812,23.0120665109,13507.5237346,655.668554332
4,pH5_B,499.96,1.33,100000,462.779853987,23.1389975275,13443.9944298,658.43333232
5,pH5_C,577.09,1.24,100000,545.747620244,27.2873846641,11367.7167703,751.254995453
6,pH7_A,405.56,1.48,100000,361.234966983,18.0617558097,15985.1666204,552.599287865
7,pH7_B,424.76,1.45,100000,381.88816434,19.0944150209,15468.3180393,573.221262763
8,pH7_C,406.56,2.75,100000,362.310654346,18.1155573131,15958.2474235,553.660201305
9,pH9_A,117.93,2.75,100000,51.8350109555,2.59192153414,23727.9352346,363.126606257
10,pH9_B,117.13,2.78,100000,50.9744610656,2.54890069049,23749.4705921,363.089622824
11,pH9_C,115.22,2.75,100000,48.9198982036,2.44617608072,23800.8862583,363.01533391
12,pH11_A,117.33,2.71,100000,51.1895985381,2.55964813165,23744.0867527,363.098508476
13,pH11_B,120.64,2.71,100000,54.7501237074,2.73766345659,23654.9842109,363.277751079
14,pH11_C,117.42,2.75,100000,51.2864104007,2.56449333455,23741.664025,363.102616978
15,Filtered_Stock,20507.4,0.21,25000,21984.5302146,1099.2265168,-543909.057226,-28708.0297245
16,Unfiltered_Stock,25034.82,0.19,25000,26854.6186926,1342.73094203,-665783.567809,-35070.5305372
