,Sample ID,Scintillation Counts (CPM),% Error,Volume Added,Vol Err,Cw (DPM/mL),dCw (DPM/mL),Total Activity (DPM),dTotal Activity (DPM),Cs (DPM/mg Fe),dCs (DPM/mg Fe)
0,7A,333.2,2.83,4,0.008,174.516617182,10.0265681968,39768.4193359,167.263910488,1115.83788088,50.8477857327
1,7B,353.2,2.75,4,0.008,184.991804288,10.5562911182,39768.4193359,167.263910488,1063.46194535,53.4635964972
2,7C,387.6,2.62,4,0.008,203.00912611,11.4595729687,39768.4193359,167.263910488,973.375336243,57.9313080008
