,Cw,sCw,Cs,sCs
5000,7.270994571,4.371748146,1170.657683,119.7739218
10000,21.05924733,20.30460701,2162.760347,556.2906029
10000_NoFHY,42.94536283,11.0324259,1563.140745,302.2582439
25000,118.4524613,6.609461936,3604.042157,181.0811489
50000,241.014708,23.68559061,7095.487451,648.9202907
75000,382.8367364,24.88384922,10059.26749,681.7492936
100000,578.0608866,29.15950173,11559.97571,798.8904585
