,Sample ID,Scintillation Counts (CPM),% Error,Total Activity,Cw (DPM/mL),dCw (DPM/mL),Cs (DPM/mg Fe),dCs (DPM/mg Fe)
0,5000_A,66.5,17.34,5000,12.3048011346,0.64290168594,1032.74517439,30.6112928927
1,5000_B,61.0,18.11,5000,5.08238302177,0.320214394026,1230.61964324,29.5385415039
2,5000_C,60.5,18.18,5000,4.42579955696,0.295336937268,1248.60823132,29.6370304528
3,10000_A,77.5,16.06,10000,26.7496373603,1.34859675211,2006.8592504,61.5301726971
4,10000_B,86.0,15.25,10000,37.911556262,1.90266555148,1701.0532531,68.8788424571
5,10000_C,56.0,18.9,10000,-1.48345162628,-0.21643797158,2780.36853771,62.2746680557
6,10000_A_NoFHY,82.5,15.57,10000,33.3154720084,1.67417556009,1826.97336963,65.4327974436
7,10000_B_NoFHY,99.0,14.21,10000,54.9827263469,2.75338452517,1233.3499631,85.4383687318
8,10000_C_NoFHY,88.0,15.08,10000,40.5378901212,2.03337790166,1629.09890079,71.0751614646
9,25000_A,148.0,11.62,25000,119.327905898,5.96770542704,3580.05737266,194.23759611
10,25000_B,152.0,11.47,25000,124.580573616,6.23025142597,3436.14866805,199.585160015
11,25000_C,142.0,11.87,25000,111.44890432,5.57390889666,3795.92042959,186.555874628
12,50000_A,258.0,8.8,50000,263.776268155,13.189153599,6471.88306425,414.546349905
13,50000_B,242.0,9.09,50000,242.765597281,12.1386742141,7047.51788271,392.568253139
14,50000_C,222.0,9.49,50000,216.502258689,10.8255948255,7767.06140578,367.071826741
15,75000_A,331.5,7.77,75000,360.294037481,18.0148961612,10676.8756854,584.946924062
16,75000_B,345.5,7.61,75000,378.678374496,18.9340960683,10173.1952193,603.804443992
17,75000_C,369.0,7.36,75000,409.537797341,20.4770432866,9327.73157969,636.900197131
18,100000_A,473.0,6.5,100000,546.107158021,27.3054477493,12435.4203282,849.259897868
19,100000_B,502.5,6.31,100000,584.845582444,29.2423582194,11374.0936317,892.733401375
20,100000_C,516.5,6.22,100000,603.229919459,30.1615705039,10870.4131655,913.939670615
