Radium sorption experiment with ferrihydrite at pH 3 performed 6/17/2015,,,
Sample ID,Scintillation Counts (CPM),% Error,Total Activity
5000_A,95.5,14.47,5000
5000_B,92,14.74,5000
5000_C,100.5,14.11,5000
5000_A_NoFHY,102.5,13.97,5000
5000_B_NoFHY,97.5,14.32,5000
5000_C_NoFHY,97.5,14.32,5000
10000_A,136,12.13,10000
10000_B,117,13.07,10000
10000_C,130.5,12.38,10000
25000_A,246.5,9.01,25000
25000_B,216.5,9.61,25000
25000_C,231,9.3,25000
50000_A,439,6.75,50000
50000_B,434,6.79,50000
50000_C,442,6.73,50000
75000_A,557.5,5.99,75000
75000_B,549,6.04,75000
75000_C,586.5,5.84,75000
100000_A,832,4.9,100000
100000_B,813,4.96,100000
100000_C,808.5,4.97,100000
