,Sample ID,Scintillation Counts (CPM),% Error,Total Activity,Cw (DPM/mL),dCw (DPM/mL),Cs (DPM/mg Fe),dCs (DPM/mg Fe)
0,5000_A,95.5,14.47,5000,50.3866420933,2.52413805346,-9.70000234056,-65.9067580874
1,5000_B,92.0,14.74,5000,45.7905578397,2.29501398239,105.605673867,60.2607275623
2,5000_C,100.5,14.11,5000,56.9524767413,2.85166787816,-174.422396923,-74.4129322737
3,5000_A_NoFHY,102.5,13.97,5000,59.5788106006,2.98273029015,-240.311354756,-77.9273191244
4,5000_B_NoFHY,97.5,14.32,5000,53.0129759525,2.65512297735,-75.5889601734,-69.2552517933
5,5000_C_NoFHY,97.5,14.32,5000,53.0129759525,2.65512297735,-75.5889601734,-69.2552517933
6,10000_A,136.0,12.13,10000,103.569902742,5.18013982125,-89.5610321745,-135.176021764
7,10000_B,117.0,13.07,10000,78.6197310799,3.9335013365,536.384067238,105.55867233
8,10000_C,130.5,12.38,10000,96.3474846296,4.81921571807,91.6336018659,126.100406697
9,25000_A,246.5,9.01,25000,248.674848464,12.4341206679,33.2451464044,324.862634375
10,25000_B,216.5,9.61,25000,209.279840576,10.4645032177,1021.5795139,277.760295489
11,25000_C,231.0,9.3,25000,228.320761055,11.4164769144,543.884569609,299.900093434
12,50000_A,439.0,6.75,50000,501.459482414,25.0730795925,-36.6152136011,-654.87612459
13,50000_B,434.0,6.79,50000,494.893647766,24.7447905229,128.107180981,646.6322919
14,50000_C,442.0,6.73,50000,505.398983203,25.2700531942,-135.44865035,-659.8482488
15,75000_A,557.5,5.99,75000,657.069763573,32.8535516784,2331.41586621,866.7433248
16,75000_B,549.0,6.04,75000,645.907844671,32.2954579036,2611.443937,853.823717516
17,75000_C,586.5,5.84,75000,695.151604532,34.7576373091,1376.02597763,911.912638715
18,100000_A,832.0,4.9,100000,1017.53408575,50.8767319128,-439.891764944,-1328.22390242
19,100000_B,813.0,4.96,100000,992.583914088,49.6292247038,186.053334469,1296.76226112
20,100000_C,808.5,4.97,100000,986.674662905,49.3337624324,334.303489593,1289.36808149
