,Sample ID,Scintillation Counts (CPM),% Error,Total Activity,Cw (DPM/mL),dCw (DPM/mL),Cs (DPM/mg Fe),dCs (DPM/mg Fe)
0,5000_A,95.5,14.47,5000,27.7073434184,1.39408782276,559.273873097,42.5442122395
1,5000_B,92.0,14.74,5000,23.9424376502,1.20758105847,653.727103608,40.3596505889
2,5000_C,100.5,14.11,5000,33.08578023,1.66124059169,424.340686653,46.7634826021
3,5000_A_NoFHY,102.5,13.97,5000,35.2371549547,1.76825790697,370.367412075,48.748720531
4,5000_B_NoFHY,97.5,14.32,5000,29.858718143,1.50086528354,505.300598519,44.0914903569
5,5000_C_NoFHY,97.5,14.32,5000,29.858718143,1.50086528354,505.300598519,44.0914903569
6,10000_A,136.0,12.13,10000,71.2726815928,3.56602363089,720.705429181,98.0321902836
7,10000_B,117.0,13.07,10000,50.8346217085,2.54561866492,1233.45153767,81.9573246556
8,10000_C,130.5,12.38,10000,65.3564011,3.27053414032,869.13193427,92.5556093945
9,25000_A,246.5,9.01,25000,190.136135131,9.50730144911,1501.85310761,256.993135247
10,25000_B,216.5,9.61,25000,157.865514261,7.89395337559,2311.45222628,226.515119347
11,25000_C,231.0,9.3,25000,173.462981014,8.67372669446,1920.14598559,240.432010592
12,50000_A,439.0,6.75,50000,397.20595238,19.8604307735,2578.87726092,531.919983484
13,50000_B,434.0,6.79,50000,391.827515568,19.5915123565,2713.81044737,526.142326942
14,50000_C,442.0,6.73,50000,400.433014467,20.0217820278,2497.91734906,535.418891427
15,75000_A,557.5,5.99,75000,524.674904816,26.2338247638,5652.91257361,725.325166183
16,75000_B,549.0,6.04,75000,515.531562236,25.7766603895,5882.29899056,716.696156066
17,75000_C,586.5,5.84,75000,555.869838324,27.7935633016,4870.30009223,756.022323062
18,100000_A,832.0,4.9,100000,819.951085776,40.997588571,4517.03246923,1091.79871293
19,100000_B,813.0,4.96,100000,799.513025892,39.9756872969,5029.77857772,1069.36150303
20,100000_C,808.5,4.97,100000,794.672432762,39.7336580014,5151.21844552,1064.11611297
