Total Activity,Cw,sCw,Cs,sCs
5000,28.2451871,4.595338426,545.7805545,115.286965
10000,62.48790147,10.5166435,941.0963004,263.8395259
25000,173.8215435,16.13829818,1911.15044,404.8745153
50000,396.4888275,4.347338717,2596.868352,109.0651961
75000,532.0254351,21.14986646,5468.503885,530.6037747
100000,804.7121815,13.41737637,4899.343164,336.6125532
