,Sample ID,Scintillation Counts (CPM),% Error,Total Activity,Cw (DPM/mL),dCw (DPM/mL),Cs (DPM/mg Fe),dCs (DPM/mg Fe)
0,5000_A,104.4,5.05,9135,62.0738277668,3.10416853914,733.011960203,85.3034166809
1,5000_B,105.27,5.03,9135,63.2162829956,3.16127899011,704.407355065,86.4679638298
2,5000_C,105.6,5.03,9135,63.6496280824,3.18294308049,693.557332426,86.9141138813
3,10000_A,160.07,4.08,18270,135.177830738,6.75903488799,1189.85221723,182.130387432
4,10000_B,156.13,4.13,18270,130.003953036,6.50035035834,1319.39491176,176.625516839
5,10000_C,152.87,4.18,18270,125.723028845,6.28631316987,1426.57998389,172.191291911
6,10000_A_NoFHY,158.73,4.1,18270,133.418187052,6.67105601213,1233.90988491,180.24108976
7,10000_B_NoFHY,158.53,4.1,18270,133.155553667,6.65792463195,1240.48565621,179.960582537
8,10000_C_NoFHY,160.07,4.08,18270,135.177830738,6.75903488799,1189.85221723,182.130387432
9,25000_A,308.33,2.94,45675,329.867959722,16.4934287257,3176.85154732,446.679711536
10,25000_B,306.4,2.95,45675,327.333547548,16.3667085621,3240.30774033,443.999641146
11,25000_C,322.93,2.87,45675,349.040196894,17.452037556,2696.82024271,467.416648231
12,50000_A,542.0,2.22,91350,636.715676164,31.8357930809,6930.08014,869.261898084
13,50000_B,554.67,2.19,91350,653.353501162,32.6676838671,6513.5050284,886.613863795
14,50000_C,530.53,2.24,91350,621.653651481,31.0826922312,7307.20062383,853.8525011
15,75000_A,763.33,1.87,137025,927.358912694,46.3679503138,11089.0338216,1275.60064224
16,75000_B,739.07,1.9,137025,895.501482982,44.7750791279,11886.6748799,1243.93057698
17,75000_C,764.13,1.87,137025,928.409446238,46.4204769861,11062.7307365,1276.66082669
18,100000_A,1013.6,1.62,182700,1256.00520017,62.8002627715,14296.4733968,1720.62395808
19,100000_B,1097.93,1.56,182700,1366.74456734,68.3372307861,11523.7994298,1837.47337527
20,100000_C,1055.87,1.59,182700,1311.51276628,65.5756408965,12906.6841333,1778.29446714
