,Cw,sCw,Cs,sCs
5000,62.97991295,0.814057589,710.3255492,20.38223932
10000,130.3016042,4.734423605,1311.942371,118.5397155
10000_NoFHY,133.9171905,1.099615596,1221.415919,27.53199349
25000,335.4139014,11.86856176,3037.993177,297.1630871
50000,637.2409429,15.85645125,6916.928597,397.0112049
75000,917.0899473,18.70353574,11346.14648,468.2960356
100000,1311.420845,55.36974081,12908.98565,1386.338416
