,Sample ID,Scintillation Counts (CPM),% Error,Volume Added,Vol Err,Cw (DPM/mL),dCw (DPM/mL),Total Activity (DPM),dTotal Activity (DPM),Cs (DPM/mg Fe),dCs (DPM/mg Fe)
0,pH3_A,759.67,1.08,4,0.008,397.884269432,20.3530152243,52448.8847319,144.686691607,1048.86877553,172.549134848
1,pH3_B,737.73,1.1,4,0.008,386.392989177,19.7816606938,52448.8847319,144.686691607,1144.06948037,167.723395742
2,pH3_C,731.93,1.1,4,0.008,383.355184917,19.6261381693,52448.8847319,144.686691607,1169.2364853,166.411523513
3,pH5_A,497.6,1.34,4,0.008,260.622655192,13.4909927239,52448.8847319,144.686691607,2186.02687566,114.671890844
4,pH5_B,499.96,1.33,4,0.008,261.85872727,13.5482223442,52448.8847319,144.686691607,2175.78650813,115.155276831
5,pH5_C,577.09,1.24,4,0.008,302.256286344,15.570629252,52448.8847319,144.686691607,1841.10873402,132.193370265
6,pH7_A,405.56,1.48,4,0.008,212.415844131,11.076299897,52448.8847319,144.686691607,2585.40120898,94.3690122162
7,pH7_B,424.76,1.45,4,0.008,222.472023753,11.5819072314,52448.8847319,144.686691607,2502.0897444,98.6148698133
8,pH7_C,406.56,2.75,4,0.008,212.939603486,12.151092064,52448.8847319,144.686691607,2581.0620702,103.056462339
9,pH9_A,117.93,2.75,4,0.008,61.7669407692,3.52464159561,52448.8847319,144.686691607,3833.46769633,32.0188343877
10,pH9_B,117.13,2.78,4,0.008,61.347933285,3.50963800109,52448.8847319,144.686691607,3836.93900735,31.8994002918
11,pH9_C,115.22,2.75,4,0.008,60.3475529164,3.44364627022,52448.8847319,144.686691607,3845.22676242,31.3872087368
12,pH11_A,117.33,2.71,4,0.008,61.452685156,3.49492933892,52448.8847319,144.686691607,3836.0711796,31.7899008849
13,pH11_B,120.64,2.71,4,0.008,63.1863286221,3.59352489088,52448.8847319,144.686691607,3821.70863023,32.5607270932
14,pH11_C,117.42,2.75,4,0.008,61.499823498,3.5093989329,52448.8847319,144.686691607,3835.68065711,31.8998081969
15,Filtered_Stock,20507.4,0.21,2,0.004,10740.9426027,537.520596994,26224.4423659,72.3433458035,-86811.8634543,-4550.11246513
16,Unfiltered_Stock,25034.82,0.19,2,0.004,13112.221183,656.084239577,26224.4423659,72.3433458035,-106456.967151,-5553.78966513
