Total Activity,Cw,sCw,Cs,sCs
5000,7.735414724,1.804249785,209.0725491,4.511403132
10000,22.1962385,4.701447052,401.3286731,11.75564666
10000_NoFHY,34.31923507,3.122761975,371.0159497,7.808252642
