Radium sorption experiment with ferrihydrite at pH 3 performed 07/14/2015 with 40mg Fe,,,
Sample ID,Scintillation Counts (CPM),% Error,Total Activity
5000_A,75.00,5.96,9135
5000_B,77.8,5.85,9135
5000_C,78.00,5.85,9135
10000_A,85.33,5.59,18270
10000_B,92.93,5.36,18270
10000_C,92.87,5.36,18270
10000_A_NoFHY,101.80,5.12,18270
10000_B_NoFHY,98.67,5.20,18270
10000_C_NoFHY,104.47,5.05,18270
100000_C,656.90,2.47,182700
