,Sample ID,Scintillation Counts (CPM),% Error,Total Activity,Cw (DPM/mL),dCw (DPM/mL),Cs (DPM/mg Fe),dCs (DPM/mg Fe)
0,5000_A,75.0,5.96,9135,23.4667200363,1.17509089212,169.719194319,4.17124242444
1,5000_B,77.8,5.85,9135,27.1435874392,1.35864151767,160.526430304,4.48332719851
2,5000_C,78.0,5.85,9135,27.4062208251,1.37175919047,159.869804303,4.50675151727
3,10000_A,85.33,5.59,18270,37.0317344192,1.85256583721,364.194256456,7.60721815075
4,10000_B,92.93,5.36,18270,47.0118030842,2.35129953334,339.242468417,8.34387990515
5,10000_C,92.87,5.36,18270,46.9330130684,2.347361223,339.439456217,8.33752266831
6,10000_A_NoFHY,101.8,5.12,18270,58.6595937498,2.93349864321,310.121105271,9.36047646951
7,10000_B_NoFHY,98.67,5.2,18270,54.5493812602,2.72804461891,320.397302187,8.98557441495
8,10000_C_NoFHY,104.47,5.05,18270,62.1657494519,3.10876391803,301.355148157,9.69225253132
9,100000_C,656.9,2.47,182700,787.598556376,39.3799370931,2598.67195103,113.803779523
