"Calibration data collected 6/23 - 6/17/2015, using 2 ml sample and 8 ml Ultima Gold XR",,
Ra226 (DPM),CPM,CPM error
5000,2389.5,2.89
1000,562.5,5.96
500,279,8.47
100,134,12.22
50,85.5,15.29
0,59,18.41
