"Calibration data collected 7/27/2015, using 2 ml sample and 8 ml Ultima Gold XR, and measured by EHS",,
Ra226 (DPM),CPM,CPM error
7520,19267.07,0.37
1464,9631.53,0.53
294,4855.2,0.74
56,1031.07,1.61
