,Sample ID,Scintillation Counts (CPM),% Error,Volume Added,Cw (DPM/mL),dCw (DPM/mL),Cs (DPM/mg Fe),dCs (DPM/mg Fe)
0,5000_A,75.0,5.96,0.2,34.6881159297,1.73440579655,-85.8178214956,-4.51801913959
1,5000_B,77.8,5.85,0.2,34.7190133854,1.73595066934,-85.8950557123,-4.522045034
2,5000_C,78.0,5.85,0.2,34.7212213993,1.73606107004,-85.9005750738,-4.52233273507
3,10000_A,85.33,5.59,0.4,34.8022420657,1.74011210335,-85.2112122878,-4.531114428
4,10000_B,92.93,5.36,0.4,34.8864467609,1.74432233811,-85.4216983464,-4.54208605106
5,10000_C,92.87,5.36,0.4,34.8857811898,1.74428905956,-85.4200346216,-4.54199932911
6,10000_A_NoFHY,101.8,5.12,0.4,34.9849801857,1.74924900935,-85.6680018595,-4.55492466633
7,10000_B_NoFHY,98.67,5.2,0.4,34.9501784825,1.74750892419,-85.5810082145,-4.55039010669
8,10000_C_NoFHY,104.47,5.05,0.4,35.0146946491,1.75073473252,-85.7422789561,-4.55879637368
