Total Activity,Cw,sCw,Cs,sCs
12669.47692,77.16721168,2.636197611,478.736528,21.73704515
25338.95385,126.0514182,9.447046974,1190.683555,77.89662114
38008.43077,182.6174285,9.924974906,1839.289459,81.83742625
50677.9077,260.482986,11.63032779,2312.267703,95.89909311
