Total Activity,Cw,sCw,Cs,sCs
5000,-7.611058312,3.581139706,1445.335131,89.84294294
1000,3.683658993,16.63262199,2416.365805,417.2760159
1000_No _FHY,21.6117817,9.03726773,1966.588517,226.7252316
25000,83.46380503,5.414174327,4178.027972,135.8297623
50000,183.8612922,19.40217189,7931.22699,486.7579501
75000,300.0355273,20.38373152,11288.62199,511.3831288
100000,459.9543818,23.886154,13548.56042,599.2512293
