,Sample ID,Scintillation Counts (CPM),% Error,Total Activity,Cw (DPM/mL),dCw (DPM/mL),Cs (DPM/mg Fe),dCs (DPM/mg Fe)
0,5000_A,66.5,17.34,5000,-3.487590089,-12.40508468,1341.886354,311.6891441
1,5000_B,61,18.11,5000,-9.403870582,-11.89252495,1490.31286,298.9125719
2,5000_C,60.5,18.18,5000,-9.941714263,-11.84181591,1503.806178,297.6491162
3,10000_A,77.5,16.06,10000,8.344970896,13.39504328,2299.423711,337.587871
4,10000_B,86,15.25,10000,17.48831348,14.13471306,2070.037294,355.9810143
5,10000_C,56,18.9,10000,-14.78230739,-11.40904186,2879.636412,288.4416919
6,10000_A_NoFHY,82.5,15.57,10000,13.72340771,13.83450048,2164.490524,348.5107314
7,10000_B_NoFHY,99,14.21,10000,31.47224919,15.21426087,1719.211009,382.8981299
8,10000_C_NoFHY,88,15.08,10000,19.6396882,14.30853816,2016.064019,360.3098264
9,25000_A,148,11.62,25000,84.18092994,18.97203207,4160.036881,481.9540385
10,25000_B,152,11.47,25000,88.48367939,19.26874598,4052.090331,489.2909752
11,25000_C,142,11.87,25000,77.72680577,18.54297489,4321.956704,471.36005
12,50000_A,258,8.8,50000,202.5065398,26.43815743,7463.45861,680.2434909
13,50000_B,242,9.09,50000,185.295542,25.41184966,7895.244807,655.1924908
14,50000_C,222,9.49,50000,163.7817948,24.09655671,8434.977553,623.2479843
15,75000_A,331.5,7.77,75000,281.5695609,31.07869597,11751.8926,811.9637813
16,75000_B,345.5,7.61,75000,296.629184,31.93549138,11374.07968,832.5919891
17,75000_C,369,7.36,75000,321.907837,33.35440588,10739.8937,866.9145218
18,100000_A,473,6.5,100000,433.7793227,39.54957623,14205.23526,1037.186436
19,100000_B,502.5,6.31,100000,465.5120999,41.29266225,13409.12946,1079.242095
20,100000_C,516.5,6.22,100000,480.571723,42.09059643,13031.31653,1098.577542
