Total Radium Added,Cw,sCw,Cs,sCs
9135,26.00550943,2.202574125,163.3718096,5.506792043
18270,43.65885019,5.739385817,347.6253937,14.3493941
18270_NoFHY,58.45824149,3.812174335,310.6245185,9.531053258
45675,281.1232033,142.8424169,439.1427878,357.1676893
91350,391.7224993,18.57160384,1304.668938,46.43702462
137025,578.9801035,38.91149455,1978.516233,97.29552959
182700,783.0681305,39.83476243,2610.280208,99.60409774
