,Sample ID,Scintillation Counts (CPM),% Error,Volume Added,Vol Err,Cw (DPM/mL),dCw (DPM/mL),Total Activity (DPM),dTotal Activity (DPM),Cs (DPM/mg Fe),dCs (DPM/mg Fe)
0,5000_A,104.4,5.05,0.5,0.002,54.6804766922,3.88587414511,2242.24784435,15.4308362291,-267.369185039,-32.5826921477
1,5000_B,105.27,5.03,0.5,0.002,55.1361473313,3.91042800144,2242.24784435,15.4308362291,-271.145993708,-32.7896592938
2,5000_C,105.6,5.03,0.5,0.002,55.3089879185,3.92268639643,2242.24784435,15.4308362291,-272.578576306,-32.8922920519
3,10000_A,160.07,4.08,1.0,0.002,83.8381600011,5.41041366488,4484.4956887,26.6667284821,-323.193673033,-45.4874351513
4,10000_B,156.13,4.13,1.0,0.002,81.7745481413,5.30318505298,4484.4956887,26.6667284821,-306.089505039,-44.5824742497
5,10000_C,152.87,4.18,1.0,0.002,80.067092643,5.21804067517,4484.4956887,26.6667284821,-291.937325429,-43.8629938056
6,10000_A_NoFHY,158.73,4.1,1.0,0.002,83.136322465,5.37564886879,4484.4956887,26.6667284821,-317.376519451,-45.1935713344
7,10000_B_NoFHY,158.53,4.1,1.0,0.002,83.0315705939,5.36887554444,4484.4956887,26.6667284821,-316.508287573,-45.1367636647
8,10000_C_NoFHY,160.07,4.08,1.0,0.002,83.8381600011,5.41041366488,4484.4956887,26.6667284821,-323.193673033,-45.4874351513
9,25000_A,308.33,2.94,2.5,0.01,161.490722016,9.36696304164,11211.2392217,77.1541811457,-409.270398464,-79.1582861707
10,25000_B,306.4,2.95,2.5,0.01,160.479866461,9.31647478685,11211.2392217,77.1541811457,-400.891960842,-78.7322436988
11,25000_C,322.93,2.87,2.5,0.01,169.137608603,9.75102884451,11211.2392217,77.1541811457,-472.651325549,-82.3990749266
12,50000_A,542.0,2.22,5.0,0.01,283.877570567,15.5300491323,22422.4784435,133.333642411,-494.429836916,-131.534746923
13,50000_B,554.67,2.19,5.0,0.01,290.513601598,15.8579185206,22422.4784435,133.333642411,-549.432326379,-134.302819075
14,50000_C,530.53,2.24,5.0,0.01,277.870050761,15.2240332382,22422.4784435,133.333642411,-444.636738719,-128.954606994
15,75000_A,763.33,1.87,7.5,0.02,399.801228673,21.3423841981,33633.7176652,208.613418129,-526.019368502,-181.112238328
16,75000_B,739.07,1.9,7.5,0.02,387.094826713,20.7050505995,33633.7176652,208.613418129,-420.702841716,-175.741035074
17,75000_C,764.13,1.87,7.5,0.02,400.220236157,21.36475186,33633.7176652,208.613418129,-529.492296014,-181.300321943
18,100000_A,1013.6,1.62,10.0,0.02,530.882482521,27.9026095668,44844.956887,266.667284821,-683.242052818,-236.873043572
19,100000_B,1097.93,1.56,10.0,0.02,575.051108952,30.1195061208,44844.956887,266.667284821,-1049.33202413,-255.568865881
20,100000_C,1055.87,1.59,10.0,0.02,553.021790469,29.0155202957,44844.956887,266.667284821,-866.742860208,-246.256554243
