,Sample ID,Scintillation Counts (CPM),% Error,Total Activity,Cw (DPM/mL),dCw (DPM/mL),Cs (DPM/mg Fe),dCs (DPM/mg Fe)
0,5000_A,67.07,6.31,9135,13.0533062845,0.65619366525,1960.37967261,63.2373935152
1,5000_B,70.27,6.16,9135,17.2554404592,0.865319163822,1855.16733187,62.2381453234
2,5000_C,65.2,6.4,9135,10.5976841261,0.534347957072,2021.86313423,64.0898755286
3,10000_A,83.2,5.66,18270,34.2346888591,1.71282010429,3717.24991487,124.487995025
4,10000_B,77.13,5.88,18270,26.2637655964,1.31471483573,3916.8245737,126.390831607
5,10000_C,84.33,5.62,18270,35.7185674896,1.78695435385,3680.09680705,124.252404486
6,10000_A_NoFHY,75.67,5.94,18270,24.3465418791,1.21900736233,3964.82770417,127.005400839
7,10000_B_NoFHY,75.73,5.93,18270,24.4253318949,1.22293583505,3962.85497278,126.978947095
8,10000_C_NoFHY,89.0,5.47,18270,41.8510570508,2.09338259431,3526.55254728,123.682082902
9,25000_A,154.07,4.16,45675,127.298829161,6.36509966851,8248.74394797,310.078161901
10,25000_B,146.2,4.27,45675,116.964205424,5.84839162726,8507.50054847,309.227131414
11,25000_C,148.0,4.24,45675,119.327905898,5.96657058452,8448.3186068,309.35628861
12,50000_A,236.87,3.36,91350,236.029050932,11.8015084268,16962.4056178,618.55583207
13,50000_B,260.2,3.2,91350,266.6652354,13.3333066898,16195.3418961,621.83024722
14,50000_C,217.87,3.5,91350,211.07887927,10.5540117006,17587.1038909,618.300612546
15,75000_A,402.4,2.57,137025,453.39757279,22.6698958479,22955.9994911,944.498766057
16,75000_B,438.53,2.47,137025,500.842293957,25.0421291309,21768.0864064,960.210648793
17,75000_C,423.47,2.51,137025,481.065999997,24.0533154968,22263.241985,953.073858372
18,100000_A,565.87,2.17,182700,668.060970774,33.4030570087,29017.3238087,1280.38429523
19,100000_B,593.87,2.12,182700,704.829644803,35.2414899308,28096.7158272,1295.4863727
20,100000_C,578.93,2.15,182700,685.210930874,34.2605546628,28587.925943,1287.16844618
