,Cw,sCw,Cs,sCs
5000,13.63547696,3.366841527,1945.80338,84.29842152
10000,32.07234065,5.084794199,3771.390432,127.3122365
10000_NoFHY,30.20764361,10.08356878,3818.078408,252.4707281
25000,121.1969802,5.414904514,8401.521034,135.577484
50000,237.9243885,27.84160512,16914.95047,697.0935059
75000,478.4352889,23.83151007,22329.10929,596.6894092
100000,686.0338488,18.39814509,28567.32186,460.6497152
