Total Radium Added,Cw,sCw,Cs,sCs
9135,13.63547696,3.366841527,1945.80338,84.29842152
18270,32.07234065,5.084794199,3771.390432,127.3122365
45675,121.1969802,5.414904514,8401.521034,135.577484
91350,237.9243885,27.84160512,16914.95047,697.0935059
137025,478.4352889,23.83151007,22329.10929,596.6894092
182700,686.0338488,18.39814509,28567.32186,460.6497152
100000,466.3891709,14.19273669,13353.67087,355.174828
