pH,Ra(mol/kgw),m_Ra+2(mol/kgw),m_RaCl+(mol/kgw),m_RaCl2(mol/kgw),m_Ra(OH)+(mol/kgw),m_Ra(OH)2(mol/kgw),m_Ra(HCO3)+(mol/kgw),m_Ra(CO3)(mol/kgw),m_FhyOHRa+2(mol/kgw),fSorb,k1,totRa,sites
4.1,5.92635092633e-10,5.92596884743e-10,3.7792051766e-14,3.09855939798e-18,2.3392175547e-19,7.66478739752e-30,4.12486621918e-16,1.95366791255e-20,5.26491370378e-12,0.00880566544014,10.0,5.979e-10,6.23e-06
4.2,5.91062740359e-10,5.9103214534e-10,3.007324124e-14,1.96285503104e-18,2.9470785449e-19,1.21705770655e-29,5.19489048721e-16,3.10103716381e-20,6.83726604562e-12,0.0114354568346,10.0,5.979e-10,6.23e-06
4.3,5.8885041692e-10,5.88825887449e-10,2.38745753318e-14,1.23921908816e-18,3.70749412382e-19,1.92946864972e-29,6.53236970497e-16,4.91404259348e-20,9.04958967596e-12,0.0151356131117,10.0,5.979e-10,6.23e-06
4.4,5.85693592475e-10,5.85673880852e-10,1.88905763859e-14,7.78603449407e-19,4.65502990345e-19,3.05260671566e-29,8.1972515098e-16,7.77011380539e-20,1.22064145267e-11,0.020415466675,10.0,5.979e-10,6.23e-06
4.5,5.81139620173e-10,5.81123718312e-10,1.48749676862e-14,4.85765577926e-19,5.82885269198e-19,4.81593741697e-29,1.02570243599e-15,1.22498211747e-19,1.67603874624e-11,0.0280320786528,10.0,5.979e-10,6.23e-06
4.6,5.74523523093e-10,5.74510614385e-10,1.16292848072e-14,2.99893731291e-19,7.2702343148e-19,7.56760038226e-29,1.27820374156e-15,1.92318192617e-19,2.33764854347e-11,0.0390976365727,10.0,5.979e-10,6.23e-06
4.7,5.64889364493e-10,5.64878785668e-10,8.99398151083e-15,1.82201131268e-19,9.0165691296e-19,1.18230553228e-28,1.58345929152e-15,3.00127455448e-19,3.30106453107e-11,0.0552109642196,10.0,5.979e-10,6.23e-06
4.8,5.50913657355e-10,5.50904869114e-10,6.8418111018e-15,1.07986766737e-19,1.10894185107e-18,1.83166449452e-28,1.94474818152e-15,4.6431303813e-19,4.69863541038e-11,0.078585620748,10.0,5.979e-10,6.23e-06
4.9,5.30877771196e-10,5.30870337036e-10,5.07333786848e-15,6.15545464526e-20,1.34736923227e-18,2.80314662731e-28,2.35870409452e-15,7.09321215119e-19,6.70222424824e-11,0.112096050851,10.0,5.979e-10,6.23e-06
5.0,5.02787057413e-10,5.02780630455e-10,3.61433444755e-15,3.29566397635e-20,1.60868531711e-18,4.21529959597e-28,2.80991727438e-15,1.06429283786e-18,9.5112959114e-11,0.159078345186,10.0,5.979e-10,6.23e-06
5.1,4.64783819087e-10,4.64778136351e-10,2.4143095343e-15,1.58946665587e-20,1.87442750457e-18,6.18589892197e-28,3.26497805756e-15,1.55748782509e-18,1.33116201127e-10,0.222639539912,10.0,5.979e-10,6.23e-06
5.2,4.15963141137e-10,4.15958022712e-10,1.44433610123e-15,6.35159465592e-21,2.11419815757e-18,8.78693920269e-28,3.66976327415e-15,2.20465266053e-18,1.81936883754e-10,0.30429312404,10.0,5.979e-10,6.23e-06
5.3,3.57430953989e-10,3.57426301019e-10,6.91356089311e-16,1.69251059353e-21,2.28931132714e-18,1.19822265085e-27,3.95632915525e-15,2.99319669968e-18,2.40469076867e-10,0.402189406274,10.0,5.979e-10,6.23e-06
5.4,2.92953210733e-10,2.92948993821e-10,1.47285613928e-16,9.36681472488e-23,2.36421480442e-18,1.55827870693e-27,4.06339130909e-15,3.87130159409e-18,3.04946827658e-10,0.510029752913,10.0,5.979e-10,6.23e-06
5.5,2.26793414578e-10,2.26789475414e-10,1.62495566222e-24,1.47295829017e-38,2.30365412389e-18,1.91135767735e-27,3.93214402467e-15,4.71589643799e-18,3.71106632729e-10,0.62068336749,10.0,5.979e-10,6.23e-06
5.6,1.66557657429e-10,1.66554048727e-10,4.57760108545e-25,1.59259876969e-39,2.12797490863e-18,2.22209946399e-27,3.60113780147e-15,5.43559260064e-18,4.31342419791e-10,0.721428905455,10.0,5.979e-10,6.23e-06
5.7,1.17290059542e-10,1.17286896312e-10,1.93898633477e-25,4.0603861496e-40,1.88468296846e-18,2.47682003969e-27,3.15535119994e-15,5.99396271405e-18,4.80610025099e-10,0.803829972334,10.0,5.979e-10,6.23e-06
5.8,7.99161930191e-11,7.99135172472e-11,9.1527578998e-26,1.32880329241e-40,1.61489596604e-18,2.67082753493e-27,2.66777939013e-15,6.37766080197e-18,5.17983904746e-10,0.866338529823,10.0,5.979e-10,6.23e-06
5.9,5.31498405991e-11,5.31476383127e-11,4.50741703315e-26,0.0,1.35051575114e-18,2.81080935034e-27,2.19433432341e-15,6.60153256354e-18,5.44750276739e-10,0.911105802644,10.0,5.979e-10,6.23e-06
6.0,3.47582248233e-11,3.47564493787e-11,2.26621285672e-26,0.0,1.11044487819e-18,2.90833228348e-27,1.76764224261e-15,6.69193421565e-18,5.63141918366e-10,0.941866156843,10.0,5.979e-10,6.23e-06
6.1,2.24763680148e-11,2.24749592602e-11,1.15403813803e-26,0.0,9.02735888003e-19,2.97514244185e-27,1.40117682276e-15,6.67498531646e-18,5.75423807284e-10,0.962407813991,10.0,5.979e-10,6.23e-06
6.2,1.44289071262e-11,1.44278035529e-11,5.9355783696e-27,0.0,7.28480065523e-19,3.02099435028e-27,1.09627341597e-15,6.57145424108e-18,5.83471306842e-10,0.975867357206,10.0,5.979e-10,6.23e-06
6.3,9.22056717478e-12,9.21971218568e-12,3.08130174898e-27,0.0,5.85125411203e-19,3.05318094038e-27,8.48007895617e-16,6.39608021984e-18,5.88679692506e-10,0.984578412486,10.0,5.979e-10,6.23e-06
6.4,5.87598248897e-12,5.8753268796e-12,1.61493537932e-27,0.0,4.68642266936e-19,3.07683543302e-27,6.48981781694e-16,6.15893767615e-18,5.92024330247e-10,0.990172298898,10.0,5.979e-10,6.23e-06
6.5,3.73860319033e-12,3.73810556409e-12,8.55144023775e-28,0.0,3.74722756339e-19,3.09544095614e-27,4.91384138623e-16,5.86737922295e-18,5.9416177009e-10,0.993747109566,10.0,5.979e-10,6.23e-06
6.6,2.37665312204e-12,2.37627934275e-12,4.5790612566e-28,0.0,2.99354852894e-19,3.11130177309e-27,3.67952071267e-16,5.52786897263e-18,5.95523787858e-10,0.99602499896,10.0,5.979e-10,6.23e-06
6.7,1.5102411625e-12,1.50996345502e-12,2.48175700945e-28,0.0,2.3904453045e-19,3.12590495985e-27,2.72321022272e-16,5.14741136201e-18,5.96390273977e-10,0.997474090713,10.0,5.979e-10,6.23e-06
6.8,9.59540279566e-13,9.59336278963e-13,1.36246882166e-28,0.0,1.90859398732e-19,3.14017519243e-27,1.99075303944e-16,4.73443943724e-18,5.96941070298e-10,0.998395149223,10.0,5.979e-10,6.23e-06
6.9,6.09638026894e-13,6.09489902329e-13,7.5808574169e-29,0.0,1.5239131843e-19,3.1546474097e-27,1.43673079625e-16,4.2990941574e-18,5.97291047736e-10,0.99898036791,10.0,5.979e-10,6.23e-06
7.0,3.87338513165e-13,3.87232203238e-13,4.27604491692e-29,0.0,1.21688701523e-19,3.16958554505e-27,1.02335327773e-16,3.85291004488e-18,5.97513427444e-10,0.999352168401,10.0,5.979e-10,6.23e-06
