Cw,sCw,Cs,sCs,pH,spH,Total Activity
900.8066774,19.21379973,2482.324028,480.8274939,3.153333333,0.02081666,100000
614.2386356,59.39151393,9653.721428,1486.2793,5.03,0.055677644,100000
466.3891709,14.19273669,13353.67087,355.174828,6.733333333,0.047258156,100000
78.30457102,1.828416965,23065.53152,45.75633974,9.233333333,0.090737717,100000
80.54133202,2.47608875,23009.55633,61.96439879,10.87333333,0.064291005,100000
