pH,Ra,fSorb,k1,totRa,sites
8.9,2.05364566294e-11,0.965652355529,7.0,5.979e-10,1.9e-07
9.0,1.95794908321e-11,0.967252900431,7.0,5.979e-10,1.9e-07
9.1,1.89324848619e-11,0.968335031173,7.0,5.979e-10,1.9e-07
9.2,1.86212748149e-11,0.968855536352,7.0,5.979e-10,1.9e-07
9.3,1.86901108816e-11,0.96874040662,7.0,5.979e-10,1.9e-07
9.4,1.92083097884e-11,0.967873708332,7.0,5.979e-10,1.9e-07
9.5,2.02804072458e-11,0.966080603369,7.0,5.979e-10,1.9e-07
9.6,2.20609016522e-11,0.963102689995,7.0,5.979e-10,1.9e-07
9.7,2.47747752442e-11,0.958563680809,7.0,5.979e-10,1.9e-07
9.8,2.87446066504e-11,0.951924056447,7.0,5.979e-10,1.9e-07
9.9,3.44237208227e-11,0.942425621638,7.0,5.979e-10,1.9e-07
10.0,4.24316702038e-11,0.929032162228,7.0,5.979e-10,1.9e-07
